2,64.2008,149.4937
1,32.3182,86.9023
5,35.201,91.8318
60,14.271,170.1322
4,34.0489,111.0937
6,36.7783,119.4179
8,39.5501,105.7821
9,41.6032,73.0877
11,38.9072,77.0369
10,38.9108,75.5277
12,27.6648,81.5158
13,32.1656,82.9001
66,13.4443,144.7937
15,19.8968,155.5828
19,41.878,93.0977
16,44.0682,114.742
17,40.6331,89.3985
18,40.2672,86.1349
20,39.0119,98.4842
21,37.8393,84.27
22,30.9843,91.9623
25,42.4072,71.3824
24,39.0458,76.6413
23,45.2538,69.4455
26,44.3148,85.6024
27,46.7296,94.6859
29,37.9643,91.8318
28,32.3547,89.3985
30,46.8797,110.3626
37,35.7596,79.0193
38,47.5515,101.002
31,41.4925,99.9018
33,43.1939,71.5724
34,40.0583,74.4057
35,34.5199,105.8701
32,38.8026,116.4194
36,40.7128,74.006
39,40.4173,82.9071
40,35.0078,97.0929
41,43.8041,120.5542
42,41.2033,77.1945
72,18.2208,66.5901
44,41.5801,71.4774
45,33.8361,81.1637
46,43.9695,99.9018
47,35.5175,86.5804
48,31.9686,99.9018
49,39.321,111.0937
51,37.4316,78.6569
78,18.3358,64.8963
50,44.5588,72.5778
53,47.7511,120.7401
55,43.7844,88.7879
54,38.5976,80.4549
56,43.076,107.2903
